Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year,Reason
Villemarin Picpoul de Pinet 2018 Côteaux du Languedoc,France,White,Fruity ,,DRY,"Picpoul's zestiness and lip-smacking nature have thrust it into the wine-world spotlight. Kissed by Mediterranean breezes, the Villemarin's grapes lock in every bit lemon-peel flavour and snappy acidity. Majestic customers can't get enough, and it's one of our highest rated wines.",9.99,IWC 2017 - Bronze Award,12.5,75.0,41.0,,no grapes could be parsed
Surani Costarossa 2018 Primitivo di Manduria,Italy,Red,Big ,,FULL,"Primitivo is the Zinfandel of Italy. This is crafted in sun-soaked Puglia, the country's heel. The grapes are plucked from some of the region's oldest vines. Old vines craft the tastiest grapes. Coupled with the juice-boosting heat, this brings gallons of black-fruit-and-spice-packed flavour to your glass.",11.99,,14.0,75.0,42.0,,no grapes could be parsed
"Gigondas Domaine Des Capes 2017, Rhône",,Red,Big ,,MEDIUM,"Domaine des Capes Gigonas strikes an expert balance between freshness and elegance. Charming herbal hints of thyme and rosemary notes emerge through a lush palate of gently-spiced black fruit. Enjoy a generous glass with hearty, home-cooked meals to delight you through chilly evenings.",18.99,,14.5,75.0,43.0,,no grapes could be parsed
"Quinta do Carmo 'Dom Martinho' 2017, Alentejo",Spain,Red,Smooth ,,MEDIUM,"When Château Lafite backs an estate it's a big deal. The iconic Bordeaux estate sells its own wines for over £1000 per bottle - so they've clearly recognised something special in Quinta de Carmo. The estate hails from Alentejo, a highly regarded region that has been at the centre of Portugal's renaissance. An unoaked blend of local and international grapes, this is loaded with smoky dark fruits, vanilla and plush tannins.",12.99,,14.5,75.0,48.0,,no grapes could be parsed
"S&R Douro Red, 2017",Portugal,Red,Big ,,FULL,"Two of Portugal's most famous and awarded winemakers crafted this high up on the sun-soaked Douro slopes. It's deep-ruby red, emitting countless vanilla-licked notes of red and black fruits. It's everything that makes Portuguese blends great.",11.99,"IWC 2019 - Silver Award, Decanter 2019 - Bronze Award",13.5,75.0,49.0,,no grapes could be parsed
"Chablis 2018, Bouchard Ainé & Fils, France",France,White,Crisp ,,DRY,"It's no secret that Chablis has had a rough time. Multiple vintages have been hit by hail and frost. However, 2018 ushered in unbridled sunshine. Whilst us Brits were flooding to parks and lidos, Chablis' vines were pampered by endless sun. The result is a crop of unusually ripe-yet-mineral Chablis, the ""best in 20 years"" according to Louis Moreau, the president of the Chablis Commission. Redolent of peach, hazelnut and gun-flint, this is a delicious testimony to this fantastic vintage.",17.99,,12.5,75.0,51.0,,no grapes could be parsed
"Parcel Series Chilean Cabernet 2017, Colchagua Valley",Chile,Red,Big ,,CHILE,"Hot on the heels of the sell-out Parcel Series Red Blend, this is another cracking deal. Made by the estate behind Chile's original 'first growth' Cabernet, with over forty 90+ point scores just for Cabernet, it's bursting with character. In fact, it already has a 90-point score under the estate's name. Bright and lively, with compelling red fruit, sweet paprika, tobacco and cassis flavours - don't miss it!",12.99,,14.0,,55.0,,no grapes could be parsed
Valpolicella Ripasso 2017 Villa Borghetti,Italy,Red,Big ,,FULL,"Valpolicella Ripasso is Italy's best-value red wine. This our Majestic customers' favourite. Left-over skins from costly Amarone are added to this juice to pump up the richness. It's luxuriously textured and flavoursome, boasting opulent notes of fine cherry, blueberry and sweet spice.",13.99,,13.5,75.0,57.0,,no grapes could be parsed
"Greywacke Pinot Gris 2015, Marlborough",New Zealand,White,Fruity ,,DRY,"An autumnal marriage of soft sweet figs, poached pears and quince scented with a hint of mulling spices and almond crumble. An opulently ripe expression of the Pinot Gris grape with great texture and a luscious off-dry richness that finishes crisply with considerable power and length.",28.99,,14.0,75.0,59.0,,no grapes could be parsed
A.Gauvin Gevrey Chambertin 2016,France,Red,Fruity ,,MEDIUM,This fabulous Gevrey abounds with red cherry flavours and floral and spice notes. The quality is superb for a village wine with an intensity of flavour and a purity of fruit normally reserved for 1er cru wines and above.,41.99,,13.0,75.0,61.0,,no grapes could be parsed
