Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year,Reason
Jean Lucas Cotes du Rhone Villages Vaison la Romaine,France,Red,Smooth ,,MEDIUM,"A garnet juice exudes vibrant notes of red berries and plum. Hints of toasted mocha frame a generously-long finish. Pair this with your roast dinners and stews to dine lavishly as leaves fall Lovely dark garnet colour, strong fruit (sherries, Plum, red berries), notes of toasted coffee and spices with a long finish. A warm hearty stew is the perfect marriment",10.99,,13.5,75.0,179.0,,no grapes could be parsed
Elysium Black Muscat 2015 Half Bottle,USA,Dessert & Fortified,,,SWEET,"Black Muscat, an under-appreciated Muscat variety, one of the very few black-skinned Muscats. Elysium is Greek for Heaven, a fitting association for this excellent wine made by Andrew Quady. Virtually black in colour, with a rose-like aroma, very intense on the palate and full of fantastic rich velvety fruit. One of the few wines that can stand up to chocolate puddings. Or try it poured over ice cream for the ultimate after-dinner treat!",13.99,IWC 2017 - Silver Award,15.0,37.5,180.0,,no grapes could be parsed
Casal de Ventozela 2018 Vinho Verde,Portugal,White,Crisp ,,OFF DRY,"Vinho Verde is made in the north-western corner of Portugal, and is a category of young wines that can be made from a range of grapes. This example is made from the indigenous variety Arinto, and undergoes a period of maturation on fine lees to achieve a richer flavour. Crisp and dry, with delicate flavours of soft citrus fruit, melon and green apple, and aromatic hints of blossom and white pepper. The palate offers refreshing sherbet suggestions. A great match for prawns with an aromatic, spicy dressing.",9.99,,13.5,75.0,182.0,,no grapes could be parsed
Porta 6 Rosé 2018,Portugal,Rose,,,DRY,"Following the best-selling, celebrity-chef-backed Porta 6, this is utterly refreshing pink. Cooling Mediterranean breezes lend a fresh, fruity balance to this summer-fruit-packed juice. A dry, refined Rosé, it's a money-saving double for Provence produce.",8.99,IWC 2019 - Commended Award,12.5,75.0,188.0,,no grapes could be parsed
Chianti Classico Riserva 2013 Villa Antinori,Italy,Red,Big ,,FULL,"A blend of 90% Sangiovese supported by Cabernet Sauvignon and Merlot, offering an intense ruby red in color, features an equally intense nose of red fruit, raspberries, and blueberries, followed by hints of oak and spices, particularly cloves, on the aromatic finish. On the palate, the wine is immediately vibrant and very territorial in character. The tannins are supple but well present. The finish and aftertaste are fruity and the light notes of oak long and lingering.",25.0,,14.0,75.0,190.0,,no grapes could be parsed
Macon Villages Elodie Dupres,France,White,Fruity ,,DRY,"Intense and subtle nose of white fruits (mango, pineapple) and dried fruits (hazelnut, grilled almond). Freshness and elegant taste of citruses and ripe nectarines for a perfect balance with a beautiful minerality.",9.99,,13.0,75.0,192.0,,no grapes could be parsed
Definition Gavi DOCG 2018,Italy,White,Crisp ,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Gavi is the Chablis of Italy. Not just thanks to its refined, clean character, but due to its tiny production area. This delivers every steely note of stone fruits, pear and honey that you'd expect from the most exclusive stuff at a snip.",11.99,IWC 2018 - Commended Award,12.5,75.0,194.0,,no grapes could be parsed
Gavi 2018 La Toledana,Italy,White,Crisp ,,DRY,"The white wines of the village of Gavi in Piedmont have been dubbed the Chablis of Italy, due to their fresh, steely minerality. Ripe peach and pears with hints of citrus and a slight honeyed edge held together by steely minerality and a fresh acidity. An ideal apéritif, this wine will also complement poached white fish with a rocket and cherry tomato salad.",14.99,,13.0,75.0,201.0,,no grapes could be parsed
Taylor's Quinta de Vargellas 2004 Port,Portugal,Dessert & Fortified,Port,,FULL,"The 300 year old Port House of Taylor's, based in Oporto on the Atlantic coast are owners oft he Quinta de Vargellas vineyard, based high up in the Douro valley.Vines of over 75 years old make up 60% of the vineyard, produces wines that age as long as vintage Port. Concentrated spicy aromas of raisin, spices, and currant. Exceptionally rich, with layer upon layer of fruit, a chewy, unctuous texture, firm structure and tannin and a finish lasting in over a minute. Decant well in advance and enjoy anytime over the next decade (or two). Serve with a full cheese platter, or just savour after dinner.",31.99,,20.5,75.0,204.0,,no grapes could be parsed
Aresti Bellavista Sauvignon Gris 2017,,White,Fruity ,,DRY,"The Aresti winemaking team have already scooped some seriously impressive awards - bagging a coveted Platinum Award at the Decanter Wine Awards 2017. So it's no surprise this Sauvignon Gris from the cool Maule Valley is bursting with cool citrus aromas, mouth-watering acidity and vibrant lime flavours",10.99,,13.0,75.0,206.0,,no grapes could be parsed
Majestic Loves Montepulciano 2018,Italy,Red,Fruity ,,MEDIUM,"This great Montepulciano is full of juicy red fruit and relaxed tannins. Exceedingly approachable, easy going and perfect with pizza - everything that great Italian red should be!",6.99,,12.5,75.0,220.0,,no grapes could be parsed
Varzea Vinho Verde,Portugal,White,Crisp ,,DRY,"Varzea de Marao has over 100 years experience crafting zippy, lime-packed Vinho Verde. This is from the oldest vineyard in the region. You'll taste its excellence in refined hints of green apple and citrus.",7.99,,9.5,75.0,223.0,,no grapes could be parsed
Winemaker Series Rosé IGP Mediterranee,France,Rose,,,DRY,"At just 29-years-old, Hermine de Clermont-Tonnerre is head winemaker at Commanderie de Peyrassol, Provence's oldest winery. So we had to get her rosé expertise on board with Winemaker Series. Elegant notes of strawberry, raspberry and blossom are chased by a hint of white pepper and refreshing acidity.",10.99,,12.5,75.0,228.0,,no grapes could be parsed
Santa Rita 120 Carménère 2018 Central Valley,Chile,Red,Big ,,FULL,"Santa Rita's 120 range has been named in tribute to 120 freedom fighters who sheltered at the Santa Rita winery during Chile's war of independence in 1814. The Carmènère is sourced from a range of vineyard sites throughout Chile's Central Valley. A lively and juicy representation of this variety, with a soft and supple texture, bright brambly fruit and subtle notes of spice and tobacco leaf, and a hint of vanilla from 6 months in French oak. Enjoy with simple pasta dishes, grilled lamb chops or simply on its own.",8.99,,13.5,75.0,229.0,,no grapes could be parsed
Definition Grüner Veltliner 2018,Austria,White,Crisp ,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Three Grüner Veltliner WIGIGs (when it's gone, it's gone!) sold out in less than 24 hours last year. So we had to outdo ourselves with the definition of the skyrocketing style. Made by a man once crowned 'Best White Wine Producer', it's racing with quince, white peach and white pepper.",10.99,"Decanter 2019 - Bronze Award, Decanter 2019 - Bronze Award, IWC 2018 - Silver Award",12.5,75.0,231.0,,no grapes could be parsed
Viré-Clessé Cave de Viré,France,White,Crisp ,,DRY,"Awarded AOC status in 1998 Viré-Clessé produces some of the finest wine in the Maconnais. Flavours of delicate peach and rich tropical fruit are enhanced by a creamy texture from lees ageing. This Chardonnay is light and moreish and would do well with seafood, would add depth to a chicken dish and would be perfect with cheese.",14.99,,13.5,75.0,239.0,,no grapes could be parsed
"Definition Carménère 2017, Maipo Valley",Chile,Red,Big ,,MEDIUM,"Rich and comforting, Carménère has earned its place in our Definition range. After a difficult journey to stardom, struck by disease in France, then mistaken for Merlot in Chile - we wanted a first-class example to do it justice. Made by a winery four times voted 'Chilean Producer of the Year' by Wine & Spirits Magazine, in the acclaimed Maipo Valley, this certainly is. Enjoy its intense black fruit flavours, notes of tobacco, cinnamon and cloves.",10.99,,14.0,75.0,240.0,,no grapes could be parsed
"Montagny 'Vieilles Vignes' 2016, Cave des Vignerons de Buxy",France,White,Rich ,,DRY,"This is made by the winery behind our best-selling white Burgundy - and Majestic customers rate this as even better! The older the vine, the juicier the grape. Those behind this are 30-years-old. So you can expect a rich flurry of citrus and white blossom.",12.99,,13.0,75.0,242.0,,no grapes could be parsed
Waimea Estate Pinot Gris 2018 Nelson,New Zealand,White,Fruity ,,DRY,"Grown in Nelson, to the west of Marlborough, on stony loam soils with high sunshine hours and a moderating Maritime influence. The winemaking philosophy blends Old World techniques with pioneering methods now becoming commonplace in the New World. Bursting with aromas of pear, honey, apple, spice and even a hint of cream. Hints of sweetness partner the pure fruit flavours and are complemented by clean acidity, good length and soft texture. Gorgeous on its own as a fuller bodied apéritif or with Thai and Asian foods. At its best when enjoyed over the next eighteen months.",13.99,"Decanter 2019 - Commended Award, IWC 2018 - Commended Award, IWC 2017 - Commended Award",13.0,75.0,243.0,,no grapes could be parsed
"Primo Rosso Appassimento 2018, Puglia",Italy,Red,Big ,,MEDIUM,"It's from Puglia, the Italian spot for full-bodied reds, where grapes reach sky-high levels of ripeness. The trick?The winemaker twists the stems of every grape bunch. It's laborious work but allows berries to fill with concentrated juice. From the first winery's to bring this Puglian technique to the UK - you'll taste the benefit in this rich and spicy red bursting with bold notes of lush cherry, raspberry and redcurrant.",9.99,,14.5,75.0,248.0,,no grapes could be parsed
Pouilly-Fuissé 'Les Vignes Blanches' 2018 Domaine Cordier,France,White,Rich ,,DRY,"Vignes Blanches is a Cordier-owned parcel of 40-plus year-old vines, producing superbly balanced, rich styles of wine. Characteristic traits of this producer are minimal filtration and super-low yields to maximise concentration and purity. Ripe tropical fruit in the form of peach and apricot are in abundance here, yet are kept in touch with a crisp acidity which leaves the finish refreshing and near-flawless. Enjoy with richer dishes such as risotto, pâté or duck - the clean acidity will cut through the fatty elements in these foods.",28.99,,13.5,75.0,251.0,,no grapes could be parsed
Contesa Pecorino 2017/18 IGT Colline Pescaresi,Italy,White,Fruity ,,DRY,"Pecorino is an early ripening, thin-skinned grape, native to central parts of Italy. The bunches tend to be very triangular in shape, reminiscent of a sheep's head, said to be the reason for the grape's name. This great example is 30% oak fermented. Pale yellow, with a remarkably intense nose of citrus fruits, hints of hawthorn and orange blossom. Soft, clean, but persistent palate texture, with a pleasing mineral complexity. Try with nutty cheeses, such as the wine's sheep's milk cheese namesake, or with simple cod dishes.",11.99,,12.5,75.0,257.0,,no grapes could be parsed
Château Musar 2000 Gaston Hochar,Lebanon,Red,Big ,,MEDIUM,"""This, I think, will be the most divisive of the Musar reds reviewed this issue... The crisp character makes it refreshing and delivers lingering flavors to the palate on the finish, but it also means there is not a lot of fleshiness here, the texture is not particularly caressing and it has a certain austerity that some will appreciate -- and many won't. Yet, it evolved beautifully in the glass and I greatly admired its structure, which should guarantee its ability to age gracefully for a long while in the cellar"". Drink 2010-25. 89+ points. Mark Squires, The Wine Advocate.",33.0,,14.0,75.0,261.0,,no grapes could be parsed
Château de Sainte Gemme Haut-Médoc,France,Red,Big ,,MEDIUM,"Château de Sainte-Gemme neighbours wineries that charge £50+ per bottle. Its grape-plumping soils, climate and rainfall are almost identical. But because it doesn't boast the same prestigious label, you can save a packet. This claret's pumping with blackberry, cherry and mocha.",14.99,,13.0,75.0,264.0,,no grapes could be parsed
Matsu El Picaro 2018 Toro,Spain,Red,Big ,,FULL,"Picaro means 'rogue' or 'rascal', and this rapscallion of a wine is a youthful interpretation of the Toro region's style. The grapes come from mature vines of over 50 years of age, but the wine spends only three months in oak, preserving their natural fruit profile. Vivid crimson-purple in the glass. Aromas are of ripe blackberries and raspberries, with subtle hints of fresh cocoa. The palate is bold yet supple, with ripe tannins and a mineral grip. Enjoy on its own or with boldly flavoured pasta dishes or spicy meat skewers.",11.99,IWC 2017 - Silver Award,14.5,75.0,266.0,,no grapes could be parsed
Vallée Des Pins Rosé 2018 Côteaux d'Aix en Provence,France,Rose,,,DRY,"The vineyards of Vallée des Pins are located just to the north of Aix en Provence. The wine is made by traditionnal 'assemblage', in which the constituent grape varieties are vinified separately, before being carefully blended to achieve the desired style. Pale and delicate in appearance, this rosé offers remarkable depth of flavour and aroma. Strawberry, raspberry and white peach fruit combine with more exotic guava-like characters. Try with gratinated aubergines or other simple Mediterranean cuisine.",9.99,,12.5,75.0,268.0,,no grapes could be parsed
Miraval Rosé 2018 Côtes de Provence,France,Rose,,,DRY,"The 17th-century Miraval estate is located in the Var region of Provence, and was bought by Brad Pitt and Angelina Jolie in 2009 and extensively renovated. With winemaking expertise from Perrin, the first modern vintage was released in 2012, and was met with wide acclaim. A beautifully pale pink colour, with a nose of wild strawberry and stone fruit, with delicate floral touches. Great palate texture, with soft tangerine and peach notes joining layers of berry fruit. Enjoy on its own or with fine seafood.",19.99,,13.0,75.0,269.0,,no grapes could be parsed
Leon Perdigal Côtes du Rhône Rosé 2018,France,Rose,,,DRY,Named after a renowned cellarmaster from the middle of the 19th Century these wines are a tribute to his passionate belief that the wine of the Rhône should reflect their terrior. A delicate pale pink colour with intense red fruit aromas followed by a full yet fresh with floral and citrus notes. This will be perfect with any grilled meat flavour with the herbs of the region.,9.99,Decanter 2018 - Bronze Award,13.0,75.0,275.0,,no grapes could be parsed
"Peyrassol, Reserve des Templiers Rosé 2018 Côtes de Provence",France,Rose,,,DRY,"Commanderie de Peyrassol was founded in 1308 by the Knights Templar. In addition to 80ha of vines, it also shelters 2500 olive trees, 200 oak truffles trees and a private hunting area with deer, hinds, mouflons and wild pigs. This dry rosé has a spicy warmth to the fruit, lifted by refreshing acidity and a peachy edge. Notes of strawberry predominate, with background notes of white pepper. Equally at home with charcuterie and other cold meats, olives, soft cheese, or fish dishes.",13.99,Decanter 2017 - Bronze Award,12.5,75.0,276.0,,no grapes could be parsed
Minuty Cuvée Prestige 2018 Côtes de Provence,France,Rose,,,DRY,"Château de Minuty is located on the St Tropez Peninsular, with its vineyards virtually overlooking the Mediterranean. This rosé is quintessential of the local style, with the blend employing the little-known Tibouren grape, a variety grown almost exclusively in Provence. Pale honeysuckle pink, and offering a clean nose of citrus fruit, offset by subtle floral and candied notes. Fresh acidity makes for an incisive and lively palate, with a rounded feel. On its own in the sunshine or with the cuisine of Provence such as salad Nicoise",18.99,,13.0,75.0,282.0,,no grapes could be parsed
Sofa King Bueno 2015 Chronic Cellars,USA,Red,Big ,,FULL,"Elegant and sophisticated. The nose if full of red berries and light violets. Followed up with mild tannin, a hint of tobacco, plums and a lingering finish.",22.0,"IWC 2018 - Commended Award, IWC 2017 - Commended Award, Decanter 2017 - Bronze Award",14.0,75.0,287.0,,no grapes could be parsed
Negrar Il Viaggio Appassimento 2018,,Red,Big ,,FULL,"Red wine is a go-to for winter warming and Negrar Il Viaggo Appassimento leaves no trace of doubt as to why. It's rich in texture, deep and plummy with uplifting notes of red cherry and violet that perfectly round the palate. Rich in texture, deep and plummy with uplifting notes of red cherry and violet, perfectly rounding the palate. Enjoy with rich red meat dishes, such as aged beef and venison.",12.99,,14.0,75.0,288.0,,no grapes could be parsed
Waimea Estate Grüner Veltliner 2017 Nelson,New Zealand,White,Crisp ,,DRY,"Just three rows of vines known as the 'Railway Reserve', owing to their following the path of a disused railway line, within Waimea's Annabrook Vineyard are planted with Grüner Veltliner. The wine is made deliberately off-dry to achieve the perfect flavour balance. An inviting golden colour, this is a fresh and crisp wine with a little extra richness. Stone fruit and pineapple flavours are accented with nuances of fennel, white pepper and a lingering minerality. Pair with fine seafood or poultry dishes.",13.99,Decanter 2019 - Bronze Award,13.0,75.0,289.0,,no grapes could be parsed
"Villa Belinda Vino Varietal, 2017",Spain,Red,Smooth ,,MEDIUM,"Juicy, full bodied and velvety the Villa Belinda is intensely flavoured with blackcurrant and plum to the fore. Long and lush the wine finishes with delightful notes of black pepper and herbs. This wine displays intense red and black berry aromas with subtle notes of black pepper and Mediterranean herbs. This versatile wine can be enjoyed on its own, but goes well with roasted and grilled meats, cheese, pasta, rice dishes and spicy food.",10.99,,14.5,75.0,291.0,,no grapes could be parsed
Château Vieux Maillet Pomerol 2004,,White,Rich ,,LIGHT,"Made from almost entirely Merlot - with just a dash of Cabernet Franc - this is all about dense, fleshy fruit delights. Plum dominates alongside notes of smoky truffle, pepper and darker briar fruits. Supple tannins are still present despite its age which makes it a fine choice for food.",38.0,,13.0,75.0,293.0,,no grapes could be parsed
Esprit de Pennautier 2014 Cabardes,France,Red,Fruity ,,FULL,"This premium cuvée from the Lorgeril family estate is a blend of fantastic old-vine Syrah with Bordeaux varieties, grown on the south-facing slopes of La Montagne Noir close to Carcassonne, and as such is one of the finest examples of the robust Cabardès style. A powerful nose of black fruits infused with hints of truffle, pepper and coriander. Full-bodied and rich, with firm yet approachable tannins and mellow, toasty wood influence. Drink now or cellar for up to 10 years. Best with charry duck magrets or hard cheeses.",24.99,,14.5,75.0,294.0,,no grapes could be parsed
Domaine Cordier Jean de Vignes Bourgogne Blanc 2016,France,White,Rich ,,OFF DRY,,14.99,,13.5,75.0,300.0,,no grapes could be parsed
"Reckless Love Red Blend, California",,Red,Big ,,MEDIUM,The Syrah in this blend lends a plush almost velvety softness that envelops the acidity and tannin of the Cabernet seamlessly with lashings of ripe black fruit flavour - think of your favourite and it's in here in spades.,18.99,,14.0,75.0,301.0,,no grapes could be parsed
Barolo Araldica 2013,Italy,Red,Big ,,FULL,"Araldica is a large co-operative based in Piedmont with over 900ha of vineyards and 200 individual growers. The grapes for this Barolo come from the classic villages of Barolo itself, la Morra, Serralunga d'Alba and Grinzane Cavour This lovely ruby coloured wine exhibits aromas of plums, leather and violets. The palate is rich with red fruits, spice and a hint of smoke. The finish is long and complex. A great match for all sorts of foods from grilled steak, stewed beef, cep risotto or strong hard cheese.",17.99,,14.0,75.0,307.0,,no grapes could be parsed
Fattori Soave 2018,Italy,White,Crisp ,,DRY,"Winemaker Antonio Fattori and his brother Giovanni are the third-generation owners of the Fattori winery, having taken over from their parents in 1970. Since then, they have modernised the operation, adding new vineyard plantings and the latest winemaking equipment. A pale, light-bodied wine, with a core of citrus and white apple fruit. The bouquet is enhanced by subtle hints of sage and nettle, while the palate is fresh, crisp and gently mineral textured. Drink with pasta alle vongole.",11.99,,12.5,75.0,308.0,,no grapes could be parsed
Rustenberg RM Nicholson 2016 Stellenbosch,South Africa,Red,Big ,,FULL,"This was named in honour of one of the estate's former owners, Reg Merriman Nicholson, who lived and worked as winemaker at Rustenberg for 30 years. Small batches of each variety are vinified separately, blended, then aged in oak for 7 mths for good integration. Blackcurrant aromas are complemented by notes of dried herbs and black pepper. The palate is fleshy and firmly structured, with weighty red fruit flavours and bold tannins. Correctly cellared, this wine will continue to improve, and keep for 8-10 years.",14.99,IWC 2018 - Commended Award,14.0,75.0,310.0,,no grapes could be parsed
Kuhlmann-Platz Gewürztraminer 2018 Cave de Hunawihr,France,White,Rich ,,MEDIUM,"Cave Vinicole de Hunawihr was the first cooperative in Alsace and the third in France as a whole. The winery was built in the 1950s by the founding vignerons, who tended their vines by day and worked on the building by night, creating a winery that is still in use today. Fresh and open, with a pale straw colour and light body. Aromas of apricot and yellow plum, with hints of white rose. A gently sweet palate with firm acidity that dries and lengthens the finish. Best enjoyed with pungent soft cheeses such as Munster, or with spiced oriental cuisine.",11.99,,13.5,75.0,314.0,,no grapes could be parsed
Herdade De Gambia 2017,Portugal,Red,Fruity ,,MEDIUM,"The property is run with a dual aim of promoting healthy vineyards and conservation of endangered wildlife in the Sado estuary such as flamingo, heron and spoonbill. The long growing season produces a big juicy red that is packed with soft plum, bramble and cherry flavours. A perfect match for grilled lamb.",9.99,,13.5,75.0,315.0,,no grapes could be parsed
Château Le Monteil d'Arsac Haut Medoc,France,Red,Big ,,LIGHT,"The nose delivers notes of ripe black fruits with mocha and roasted coffee aromas. The palate is smooth and textured with nice volume in the mouth, and the tannins are elegant and pleasantly woody.",14.99,,13.5,75.0,317.0,,no grapes could be parsed
Mon Plaisir du Sud Rosé 2018,France,Rose,,,DRY,One of the most awarded producers in France made this exclusive pink just for Majestic customers. The result...A joyful burst of soft red-berry flavours and moreish crisp acidity the Mon Plaisir is the perfect accompaniment to sun-dappled patios.,7.99,,12.5,75.0,320.0,,no grapes could be parsed
La Perlière Beaujolais Villages 2018,France,Red,Fruity ,,LIGHT,Surprisingly full-bodied and rich for a Beaujolais Village this possesses intense flavours of blackcurrant and floral notes followed by a silky smooth finish,9.99,,13.0,75.0,323.0,,no grapes could be parsed
Emilio Moro 2016 Ribera del Duero,Spain,Red,Smooth ,,FULL,"Coming from a selection of vineyards between 15 and 25 years of age this wine spends 50% French and 50% American oak for 12 months prior to bottling. The Tempranillo clones are old and pure here, known as Tinto Fino. Real intensity on the palate, with layers of concentrated blackberry, toasted herbs, smoke and vanilla. Full-bodied and a long length, the remarkably integrated, ripe tannins give a firm structure. Enjoy now if you like modern interpretations of Tempranillo, or age over the following 6-8 years to soften the fruit and spices.",18.99,,14.0,75.0,324.0,,no grapes could be parsed
Les Frères Lumière Côtes du Rhône,France,Red,Smooth ,,LIGHT,"The Rhône Valley was the birthplace of Syrah, and the first wine producing region in France. However, did you know it was also the inspiration for cinema? The Lumière Brothers were pioneers of modern cinema; born in the Rhône Valley, they filmed some of the first moving pictures there. This blockbuster raspberry-and-pepper flavoured red is a homage to this special region that gave us both wine and cinema.",8.99,,13.5,75.0,328.0,,no grapes could be parsed
Chablis Louis Moreau,France,White,Crisp ,,DRY,"Made by the 6th generation of the Moreau familt this is a tangy, fresh and fruit driven Chablis with bold flavours of lemon and tangerine finished off with a hint of minerality. Fresh and fruit driven, this Chardonnay is well-rounded with a hint of acidity and minerality. Expect fresh green apples and a nutty complexity. This fine and fresh wine will pair beautifully with smoked salmon or a steamed cod.",16.99,IWC 2018 - Bronze Award,12.5,75.0,336.0,,no grapes could be parsed
Maranges 1er Cru Roussots 2017 Domaine Belland,France,Red,Fruity ,,MEDIUM,"""Lovely ripe raspberry and cherry fruit and showing all the balance of what is a truly remarkable Pinot vintage. Will drink almost immediately upon release but has freshness and lovely ripeness of tannin to keep for 6-8 or more years.",28.0,,13.0,75.0,337.0,,no grapes could be parsed
Rustenberg John X Merriman 2017 Stellenbosch,South Africa,Red,Big ,,FULL,"The name commemorates John Xavier Merriman (1841 - 1926), who purchased a farm in 1892 which later became Rustenberg Wines. He was the last Prime Minister of the Cape Colony before the formation of the Union of South Africa in 1910. Intense blackberry, blackcurrant, undertones of mint, spice and cigar box on the nose. On the palate are plenty of blackcurrant and cassis, fresh mint, subtle oak and soft tannins. This wine suits robust meat dishes, especially beef and lamb.",17.99,"Decanter 2019 - Silver Award, IWC 2018 - Silver Award, IWC 2017 - Silver Award",14.5,75.0,338.0,,no grapes could be parsed
Domaine Chatelain Chablis 2018,France,White,Crisp ,,DRY,From a family owned estate this is a traditionally styled Chablis with elegant citrus flavours and a lovely minerality. It is well balanced with a refreshing finish. This is a traditional style of Chablis with elegant citrus flavours and a lovely minerality. It is well balanced with a refreshing finish. Magnificent with shell fish or escargots.,17.99,,13.0,75.0,340.0,,no grapes could be parsed
"The Ned Rosé 2018 Waihopai River, Marlborough",,Rose,,,DRY,"The man behind our best-ever-selling white has done it again. Pinot Gris and Noir grapes are gently pressed to make an elegant, creamy and incredibly sippable rosé. The well-structured palate is pumping with strawberry, rapsberry and summer berries.",12.99,"IWC 2019 - Commended Award, Decanter 2018 - Bronze Award, IWC 2017 - Commended Award",13.0,75.0,342.0,,no grapes could be parsed
Cillar de Silos Crianza 2016 Ribera del Duero,Spain,Red,Smooth ,,MEDIUM,"Ribera del Duero is an important wine zone in Castilla y León, that is now challenging Rioja as the leading wine-producing region in Iberia. A continental climate, with a high diurnal temperature variation, helps to grow grapes of a very high quality. Rich and meaty on the palate, the wine shows intense aromas of strawberries, blackberries, chocolate and vanilla. Complex and concentrated with a subtle hint of spice. A really gutsy wine that would love being paired with roast suckling pig or braised lamb shank.",19.99,,14.5,75.0,345.0,,no grapes could be parsed
Dom Michaut Freres Chablis 1er Cru Vauligneau,,White,Crisp ,,DRY,This wine is all about finesse with elegant flavours of citrus and acacia flowers wrapped in a rounded mouth feel and followed by a fine mineral finish.,26.99,,12.5,75.0,346.0,,no grapes could be parsed
Porta 6 2015 Magnum,Portugal,Red,Smooth ,,MEDIUM,"Celebrity chef James Martin called Porta 6 'one of the nicest reds [he'd] tasted in 10 years on this show'. Following demand broke our website. We sold tens of thousands more than we had in the warehouse (sorry about that!). But now we've made sure there's plenty of this best-ever-selling red. And a magnum chock-full of warm, jammy forest-fruit flavours will make the ideal centrepiece on your table.",16.99,,13.5,150.0,350.0,,no grapes could be parsed
Lay & Wheeler Chablis 2017,France,White,Crisp ,,DRY,"""Lay and Wheeler, our sister company, have specially selected this Chablis from one of our favourite producers. It possesses all the classic elements of Chablis; fine apple and citrus flavours, complex mineral notes and a finely perfumed finish.",30.0,,13.0,75.0,356.0,,no grapes could be parsed
Château de Berne Rosé 2018 Côtes de Provence,France,Rose,,,DRY,"A stunning property and landmark of Provence, Château de Berne is a luxurious hotel and spa resort, located on an 18th-century wine estate and its historic cellars. This is their 'prestige cuvée' rosé in its iconic square bottle. An attractive and delicate honeysuckle pink wine with a lifted nose of summer fruits and tropical suggestions of mango. Intense, crisp, well balanced and refreshing on the palate. Drink as a summery apéritif, or with classic Provençale fish dishes, either lightly spiced or simply grilled.",14.99,,12.5,75.0,357.0,,no grapes could be parsed
Ramos Reserva 2017 Vinho Regional Alentejano,Portugal,Red,Smooth ,,MEDIUM,"João Portugal Ramos started planting his own vines in Alentejo in 1990, gradually increasing the vineyard area and developing the winery. Traditional foot-treading in marble lagares is still practised on the estate, alongside modern temperature-controlled fermentation. A robust ruby red wine, with dense aromas of red berries and pudding spice. Flavours on the palate are bright, thick and jammy, with fine-grained, well integrated tannins and good length. Enjoy with a roasted pork loin marinated in Mediterranean spices.",8.99,Decanter 2018 - Bronze Award,14.0,75.0,360.0,,no grapes could be parsed
Château Musar 1999 Gaston Hochar,Lebanon,Red,Big ,,FULL,"An exceptional vintage, 1999 produced a wine with plenty of power, richness and concentration, due to a relatively mild growing season which ended with a increased temperatures closer to harvest time. The wine is deeply coloured, dense and fleshy, with good fruit sweetness and plenty of smoky, chocolaty, spicy notes.",35.0,,14.0,75.0,364.0,,no grapes could be parsed
Château Clarke Listrac-Médoc 2010,,Red,Big ,,MEDIUM,"Ripe yet elegant and displaying bold flavours of blackcurrant, dark plums and cedar. Now at its peak this is fabulous value and ideal for drinking now.",35.0,,14.0,75.0,367.0,,no grapes could be parsed
Les Haut Vignes Cairanne 2017,France,Red,Big ,,FULL,"Cairanne is a village in the southern Rhone valley that makes wines in a similar style to CNDP. Indeed, the wines of Cairanne ofter represent far better value that the entry level wines of its more famous neighbour. Classic Rhone flavours of intense bramble, blackcurrant and plum with pungent sweet herbs and spice. Try this with rabbit stewed in wine with thyme.",13.99,,14.5,75.0,370.0,,no grapes could be parsed
Conte di Zanone Barolo,Italy,Red,Big ,,MEDIUM,"Barolo's 2014 vintage was exceptional. You're in for punchy flavours of cherry, raspberry, a dusting of rose petals, some well-integrated tannins and gallons of taste. Treat yourself to the king of Italian reds!",19.99,,13.5,75.0,371.0,,no grapes could be parsed
"Grüner Veltliner 2018 Weingärten Weissenkirchen, Wachau",Austria,White,Crisp ,,DRY,"The Wachau region of Austria comprises of a 33 kilometer long gorge overlooking the Danube river. Produced from vines grown around the Weissenkirchen parish including the hamlets of Joching and Wösendorf. Grüner Veltliner is an aromatic variety primarily from Austria. The colour of fresh straw, an alluring nose of gooseberries with a hint of green apple and flowers. Well balanced acidity and citrus fruits leading to a spicy, lively wine of minerality and elegance. Drinkable at any time over the next six years. An excellent accompaniment for prosciutto, seared scallops or bisques.",12.99,,12.5,75.0,373.0,,no grapes could be parsed
Amarone Classico 'Vigneti di Roccolo' 2016 Cantina Negrar,Italy,Red,Big ,,FULL,"When it comes to rich reds, nothing beats Amarone. It's the king of Italian wine for good reason. And with its colossal rich, black-fruit flavour, this is a prime example. Put your feet up. Pour a large glass. Relax. This is comfort in a bottle.",22.99,"IWC 2019 - Bronze Award, IWC 2017 - Bronze Award",15.0,75.0,378.0,,no grapes could be parsed
The Palm by Whispering Angel 2018,France,Rose,,,DRY,"Made by the same Provence Château, The Palm is the sister rosé to Whispering Angel. It's every crisp note of watermelon, summer berries and pink blossom that you'd expect from its sibling - but you can shave a few quid off the usual asking price.",18.99,,12.5,75.0,382.0,,no grapes could be parsed
