Name,Country,Type,Style,Grape,Short Description,Long Description,Per Bottle Price,Mix Six Price,Percentage of reviewers who would buy again,Number of Reviewers,Awards,Closure,ABV,Units,Volume,Name,Country,year,ID
"Bread & Butter Chardonnay 2017, California",USA,White,Rich White,White,OFF DRY,"Complex and layered, with distinctive notes of vanilla bean, almond husk and tropical fruit - it's reminiscent of a decadent crème brûlée! Californian Chardonnay at it's very best. This Chardonnay opens delicately with rich notes of vanilla bean and almond husk, which reminds us of a decadent crème brûlée. The creamy custard notes are balanced by a soft minerality and a hint of worn leather Any seafood dish that features butter or brown butter sauce... baked chicken, creamy pastas or soups, squash and winter vegetables... You're staying for dinner, right?",15.99,10.99,91,195,[],Natural Cork,13.5%,10.1,75,"Bread & Butter Chardonnay 2017, California",USA,2017,0
"Nero Oro Appassimento 2018, Sicily",Italy,Red,Big Red,Red,FULL,"Nero Oro is made by a winemaker who's scored a perfect 100 Parker Points. It's little surprise, then, that TV chef James Martin called it ""absolutely fantastic"". It's rich, sweet-spice-packed and luxuriously indulgent. It's an Amarone double without the eye-watering price tag.",9.99,6.99,93,320,"['IWC 2019 - Commended Award', 'Decanter 2019 - Bronze Award']",,14%,10.1,75,"Nero Oro Appassimento 2018, Sicily",Italy,2018,1
"Jaboulet Viognier 2018, France",France,White,Fruity White,White,DRY,"When this was a WIGIG (when it's gone, it's gone!), 4,000 bottles sold out in less than a week. It's since become one of our best-rated Viogniers ever. Brimming with perfumed aromas of peach, pear and citrus all balanced by a salty minerality, it's a Condrieu double at the snip of the price.",11.99,7.99,91,54,[],,12.5%,9.8,75,"Jaboulet Viognier 2018, France",France,2018,2
